item,name,authorization_notice_id,authorized_announcement_date,filing_id,filing_date,patentee,designer,address,Int.Cl.
6403,一种防水防漏液的锂电池箱,CN209087947U,2019.07.09,2.02E+12,2018.12.21,天津市远程新能源科技有限公司,程远,300000天津市滨海新区华苑产业区（环外）海泰创新六路2号3-2-501-2,H01M2/10(2006.01)I;
6404,一种轴承幅高检测装置,CN209085501U,2019.07.09,201822155587X,2018.12.21,中山华翔精密机械制造有限公司,谢晋敬;??尹晓斌,528445广东省中山市三角镇高平大道101号之二,G01B5/06(2006.01)I  
6405,霍尔离子源热辐射冷却装置,CN209087757U,2019.07.09,2.02E+12,2018.12.21,江阴市中兴光电实业有限公司,刘宸佳,214443江苏省无锡市江阴市镇澄路206号,H01J27/02(2006.01)I;??H01J27/14(2006.01)I
6406,一种高强度电机支架,CN209088677U,2019.07.09,2.02E+12,2018.12.21,石家庄通业电气制造有限公司,孟建斌,050000河北省石家庄市高新区长江大道245号南厂区,H02K5/00(2006.01)I
6407,一种无线电信号探测仪,CN209088968U,2019.07.09,2.02E+12,2018.12.21,黄纪庭,黄纪庭,517200广东省河源市和平县阳明镇雅水村委会新屋村15号,H04B17/318(2015.01)I;??H04B1/40(2015.01)I
6408,一种可快速插拔的连接结构,CN209088136U,2019.07.09,2.02E+12,2018.12.22,重庆衍数自动化设备有限公司,唐正勇;??周江,401120重庆市渝北区双凤桥街道敬业路6号3幢整幢,H01R13/502(2006.01)I;
6409,一种便于散热的变压器铁芯,CN209087523U,2019.07.09,2.02E+12,2018.12.22,泰州市天力铁芯制造有限公司,严桂娣,225500江苏省泰州市姜堰区梁徐镇江村村,H01F27/24(2006.01)I;
6410,一种半导体芯片加工分切装置,CN209087783U,2019.07.09,2.02E+12,2018.12.23,三致锐新（杭州）科技有限公司,尼博爱,311100浙江省杭州市余杭区仓前街道海创科技中心,H01L21/67(2006.01)I  
6411,一种棉袜机电机驱动模块,CN209088849U,2019.07.09,2.02E+12,2018.12.21,杭州恒之脉电气制造有限公司,周小红;??陈跃南,310000浙江省杭州市拱墅区康贤路21号2幢401室杭州恒之脉电气制造有限公司,H02P8/40(2006.01)I
6412,变频器装置,CN209088801U,2019.07.09,2.02E+12,2018.12.21,深圳市英威腾电气股份有限公司,江传烈;??欧康喜,518000广东省深圳市南山区龙井高发科技工业园4号厂房,H02M1/00(2007.01)I;??H05K7/14(2006.01)I
6413,一种便于安装且稳定性高的水表,CN209085698U,2019.07.09,2.02E+12,2018.12.20,成都市穆尔西科技有限公司,邓超;,610500四川省成都市新都区石板滩镇四川现代农机产业园创飞路369号3号厂房,G01F15/14(2006.01)I
6414,曲柄中心孔检具,CN209085480U,2019.07.09,2.02E+12,2018.12.21,台州宏鑫曲轴有限公司,李红兵,317600浙江省台州市玉环市漩港工业区,G01B5/00(2006.01)I
6415,一种嵌入式系统多业务单板固件加载电路,CN209086913U,2019.07.09,2.02E+12,2018.12.20,西电通用电气自动化有限公司,周超聪;,710018陕西省西安市经济技术开发区凤城六路101号,G06F13/40(2006.01)I;
6416,毛毡固定装置,CN209087460U,2019.07.09,2.02E+12,2018.12.21,珠海蓉胜电子材料研究院有限公司,冯忠泰;,519000广东省珠海市金湾区三灶镇机场西路681号4栋103,H01B13/06(2006.01)I;??H01B13/22(2006.01)I
6417,一种抗快速瞬变互感器,CN209087550U,2019.07.09,2.02E+12,2018.12.24,南京江北自动化技术有限公司,赵晶晶,210000江苏省南京市玄武区玄武大道江苏软件园南京江北自动化技术有限公司19栋699-22,H01F27/30(2006.01)I;
6418,一种LCD液晶屏的安装结构,CN209086605U,2019.07.09,2.02E+12,2018.12.24,浙江卡乐科技有限公司,陈金巧;??陈莽;??夏远文,325024浙江省温州市龙湾区蒲州街道文昌路209号C幢223A室,G02F1/1333(2006.01)I;??H05K7/20(2006.01)I
6419,一种液冷散热全地埋箱式变电站,CN209088376U,2019.07.09,2.02E+12,2018.12.24,华翔翔能电气股份有限公司,夏欣,413002湖南省益阳市赫山区龙岭工业园学府路西1号,H02B1/56(2006.01)I;
6420,一种双质量飞轮垫片的在线检测装置,CN209085581U,2019.07.09,201822173021X,2018.12.24,上海华括自动化工程有限公司,吴祎;??吴福多;??舒静,201315上海市浦东新区秀浦路2388号6幢101室,G01B21/08(2006.01)I;??G01B21/30(2006.01)I
6421,电机外壳密封结构及电机,CN209088684U,2019.07.09,2.02E+12,2018.12.24,上海酷风汽车部件有限公司,李春华;??谢燕,201108上海市闵行区春光路588号,H02K5/04(2006.01)I;??H02K5/10(2006.01)I
6422,一种SOFC连接体组件的密封性测试装置,CN209085870U,2019.07.09,2.02E+12,2018.12.24,广东索特能源科技有限公司;,陈东兴;,523808广东省东莞市松山湖高新技术产业开发区大学创新城G-1栋502室,G01M3/28(2006.01)I
